tid,attribute,correct_val
0,T1,19.89
0,T2,19.2
0,T3,19.79
0,T4,19.0
0,T5,17.1666666666667
0,T6,7.02666666666667
0,T7,17.2
0,T8,18.2
0,T9,17.0333333333333
1,T1,19.89
1,T2,19.2
1,T3,19.79
1,T4,19.0
1,T5,17.1666666666667
1,T6,7.02666666666667
1,T7,17.2
1,T8,18.2
1,T9,17.0333333333333
2,T1,19.89
2,T2,19.2
2,T3,19.79
2,T4,19.0
2,T5,17.1666666666667
2,T6,7.02666666666667
2,T7,17.2
2,T8,18.2
2,T9,17.0333333333333
3,T1,19.89
3,T2,19.2
3,T3,19.79
3,T4,19.0
3,T5,17.1666666666667
3,T6,7.02666666666667
3,T7,17.2
3,T8,18.2
3,T9,17.0333333333333
4,T1,19.89
4,T2,19.2
4,T3,19.79
4,T4,19.0
4,T5,17.1666666666667
4,T6,7.02666666666667
4,T7,17.2
4,T8,18.2
4,T9,17.0333333333333
5,T1,19.89
5,T2,19.2
5,T3,19.79
5,T4,19.0
5,T5,17.1666666666667
5,T6,7.02666666666667
5,T7,17.2
5,T8,18.2
5,T9,17.0333333333333
6,T1,19.89
6,T2,19.2
6,T3,19.79
6,T4,19.0
6,T5,17.1666666666667
6,T6,7.02666666666667
6,T7,17.2
6,T8,18.2
6,T9,17.0333333333333
7,T1,19.89
7,T2,19.2
7,T3,19.79
7,T4,19.0
7,T5,17.1666666666667
7,T6,7.02666666666667
7,T7,17.2
7,T8,18.2
7,T9,17.0333333333333
8,T1,19.89
8,T2,19.2
8,T3,19.79
8,T4,19.0
8,T5,17.1666666666667
8,T6,7.02666666666667
8,T7,17.2
8,T8,18.2
8,T9,17.0333333333333
9,T1,19.89
9,T2,19.2
9,T3,19.79
9,T4,19.0
9,T5,17.1666666666667
9,T6,7.02666666666667
9,T7,17.2
9,T8,18.2
9,T9,17.0333333333333
10,T1,19.89
10,T2,19.2
10,T3,19.79
10,T4,19.0
10,T5,17.1666666666667
10,T6,7.02666666666667
10,T7,17.2
10,T8,18.2
10,T9,17.0333333333333
11,T1,19.89
11,T2,19.2
11,T3,19.79
11,T4,19.0
11,T5,17.1666666666667
11,T6,7.02666666666667
11,T7,17.2
11,T8,18.2
11,T9,17.0333333333333
12,T1,19.89
12,T2,19.2
12,T3,19.79
12,T4,19.0
12,T5,17.1666666666667
12,T6,7.02666666666667
12,T7,17.2
12,T8,18.2
12,T9,17.0333333333333
13,T1,19.89
13,T2,19.2
13,T3,19.79
13,T4,19.0
13,T5,17.1666666666667
13,T6,7.02666666666667
13,T7,17.2
13,T8,18.2
13,T9,17.0333333333333
14,T1,19.89
14,T2,19.2
14,T3,19.79
14,T4,19.0
14,T5,17.1666666666667
14,T6,7.02666666666667
14,T7,17.2
14,T8,18.2
14,T9,17.0333333333333
15,T1,19.89
15,T2,19.2
15,T3,19.79
15,T4,19.0
15,T5,17.1666666666667
15,T6,7.02666666666667
15,T7,17.2
15,T8,18.2
15,T9,17.0333333333333
16,T1,19.89
16,T2,19.2
16,T3,19.79
16,T4,19.0
16,T5,17.1666666666667
16,T6,7.02666666666667
16,T7,17.2
16,T8,18.2
16,T9,17.0333333333333
17,T1,19.89
17,T2,19.2
17,T3,19.79
17,T4,19.0
17,T5,17.1666666666667
17,T6,7.02666666666667
17,T7,17.2
17,T8,18.2
17,T9,17.0333333333333
18,T1,19.89
18,T2,19.2
18,T3,19.79
18,T4,19.0
18,T5,17.1666666666667
18,T6,7.02666666666667
18,T7,17.2
18,T8,18.2
18,T9,17.0333333333333
19,T1,19.89
19,T2,19.2
19,T3,19.79
19,T4,19.0
19,T5,17.1666666666667
19,T6,7.02666666666667
19,T7,17.2
19,T8,18.2
19,T9,17.0333333333333
20,T1,19.89
20,T2,19.2
20,T3,19.79
20,T4,19.0
20,T5,17.1666666666667
20,T6,7.02666666666667
20,T7,17.2
20,T8,18.2
20,T9,17.0333333333333
21,T1,19.89
21,T2,19.2
21,T3,19.79
21,T4,19.0
21,T5,17.1666666666667
21,T6,7.02666666666667
21,T7,17.2
21,T8,18.2
21,T9,17.0333333333333
22,T1,19.89
22,T2,19.2
22,T3,19.79
22,T4,19.0
22,T5,17.1666666666667
22,T6,7.02666666666667
22,T7,17.2
22,T8,18.2
22,T9,17.0333333333333
23,T1,19.89
23,T2,19.2
23,T3,19.79
23,T4,19.0
23,T5,17.1666666666667
23,T6,7.02666666666667
23,T7,17.2
23,T8,18.2
23,T9,17.0333333333333
24,T1,19.89
24,T2,19.2
24,T3,19.79
24,T4,19.0
24,T5,17.1666666666667
24,T6,7.02666666666667
24,T7,17.2
24,T8,18.2
24,T9,17.0333333333333
25,T1,19.89
25,T2,19.2
25,T3,19.79
25,T4,19.0
25,T5,17.1666666666667
25,T6,7.02666666666667
25,T7,17.2
25,T8,18.2
25,T9,17.0333333333333
26,T1,19.89
26,T2,19.2
26,T3,19.79
26,T4,19.0
26,T5,17.1666666666667
26,T6,7.02666666666667
26,T7,17.2
26,T8,18.2
26,T9,17.0333333333333
27,T1,19.89
27,T2,19.2
27,T3,19.79
27,T4,19.0
27,T5,17.1666666666667
27,T6,7.02666666666667
27,T7,17.2
27,T8,18.2
27,T9,17.0333333333333
28,T1,19.89
28,T2,19.2
28,T3,19.79
28,T4,19.0
28,T5,17.1666666666667
28,T6,7.02666666666667
28,T7,17.2
28,T8,18.2
28,T9,17.0333333333333
29,T1,19.89
29,T2,19.2
29,T3,19.79
29,T4,19.0
29,T5,17.1666666666667
29,T6,7.02666666666667
29,T7,17.2
29,T8,18.2
29,T9,17.0333333333333
30,T1,19.89
30,T2,19.2
30,T3,19.79
30,T4,19.0
30,T5,17.1666666666667
30,T6,7.02666666666667
30,T7,17.2
30,T8,18.2
30,T9,17.0333333333333
31,T1,19.89
31,T2,19.2
31,T3,19.79
31,T4,19.0
31,T5,17.1666666666667
31,T6,7.02666666666667
31,T7,17.2
31,T8,18.2
31,T9,17.0333333333333
32,T1,19.89
32,T2,19.2
32,T3,19.79
32,T4,19.0
32,T5,17.1666666666667
32,T6,7.02666666666667
32,T7,17.2
32,T8,18.2
32,T9,17.0333333333333
33,T1,19.89
33,T2,19.2
33,T3,19.79
33,T4,19.0
33,T5,17.1666666666667
33,T6,7.02666666666667
33,T7,17.2
33,T8,18.2
33,T9,17.0333333333333
34,T1,19.89
34,T2,19.2
34,T3,19.79
34,T4,19.0
34,T5,17.1666666666667
34,T6,7.02666666666667
34,T7,17.2
34,T8,18.2
34,T9,17.0333333333333
35,T1,19.89
35,T2,19.2
35,T3,19.79
35,T4,19.0
35,T5,17.1666666666667
35,T6,7.02666666666667
35,T7,17.2
35,T8,18.2
35,T9,17.0333333333333
36,T1,19.89
36,T2,19.2
36,T3,19.79
36,T4,19.0
36,T5,17.1666666666667
36,T6,7.02666666666667
36,T7,17.2
36,T8,18.2
36,T9,17.0333333333333
37,T1,19.89
37,T2,19.2
37,T3,19.79
37,T4,19.0
37,T5,17.1666666666667
37,T6,7.02666666666667
37,T7,17.2
37,T8,18.2
37,T9,17.0333333333333
38,T1,19.89
38,T2,19.2
38,T3,19.79
38,T4,19.0
38,T5,17.1666666666667
38,T6,7.02666666666667
38,T7,17.2
38,T8,18.2
38,T9,17.0333333333333
39,T1,19.89
39,T2,19.2
39,T3,19.79
39,T4,19.0
39,T5,17.1666666666667
39,T6,7.02666666666667
39,T7,17.2
39,T8,18.2
39,T9,17.0333333333333
40,T1,19.89
40,T2,19.2
40,T3,19.79
40,T4,19.0
40,T5,17.1666666666667
40,T6,7.02666666666667
40,T7,17.2
40,T8,18.2
40,T9,17.0333333333333
41,T1,19.89
41,T2,19.2
41,T3,19.79
41,T4,19.0
41,T5,17.1666666666667
41,T6,7.02666666666667
41,T7,17.2
41,T8,18.2
41,T9,17.0333333333333
42,T1,19.89
42,T2,19.2
42,T3,19.79
42,T4,19.0
42,T5,17.1666666666667
42,T6,7.02666666666667
42,T7,17.2
42,T8,18.2
42,T9,17.0333333333333
43,T1,19.89
43,T2,19.2
43,T3,19.79
43,T4,19.0
43,T5,17.1666666666667
43,T6,7.02666666666667
43,T7,17.2
43,T8,18.2
43,T9,17.0333333333333
44,T1,19.89
44,T2,19.2
