"_tid_","T1","T2","T3","T4","T5","T6","T7","T8","T9"
"0","19.89","19.2","19.79","19","17.16666667","7.026666667","17.2","18.2","17.03333333"
"1","19.89","19.2","19.79","19","17.16666667","6.833333333","17.2","18.2","17.06666667"
"2","19.89","19.2","19.79","18.92666667","17.16666667","6.56","17.2","18.2","17"
"3","19.89","19.2","19.79","19","17.16666667","6.433333333","17.13333333","18.1","17"
"4","19.89","19.2","19.79","19","17.2","6.366666667","17.2","18.1","17"
"5","19.89","19.2","19.79","19.1","17.13333333","6.3","17.13333333","18.1","17"
"6","19.89","19.2","19.79","18.89","17.1","6.263333333","17.13333333","18.1","17"
"7","19.85666667","19.2","19.73","18.89","17.1","6.19","17.1","18.1","17"
"8","19.79","19.2","19.73","18.89","17.16666667","6.123333333","17.16666667","18.1","17"
"9","19.85666667","19.23","19.79","18.89","17.1","6.19","17.2","18.1","17"
"10","19.92666667","19.35666667","19.79","18.89","17.1","6.19","17.2475","18.1","17"
"11","20.06666667","19.42666667","19.79","19","17.1","6.123333333","17.53","18.06666667","16.89"
"12","20.13333333","19.56666667","19.89","19","17.1","6.123333333","17.82333333","18.06666667","16.96333333"
"13","20.26","19.73","19.89","19","17.1","6.0675","17.96333333","18.03333333","16.89"
"14","20.42666667","19.85666667","20.03333333","19","17.1","5.9","17.96333333","18.1","16.89"
"15","20.56666667","20.03333333","20.1","19","17.15","5.8","17.89","18.15","17.1"
"16","20.73","20.16666667","20.2","18.92666667","17.16666667","5.726666667","17.76","18.23","17.1"
"17","20.85666667","20.2","20.2","18.89","17.2","5.526666667","17.7","18.35666667","17.1"
"18","20.89","20.2","20.2","18.96333333","17.2","5.333333333","17.66666667","18.53333333","16.89"
"19","20.89","20.2","20.16666667","19.03333333","17.59333333","5.333333333","19.2","18.66666667","16.89"
"20","20.89","20.2","20.16666667","19.175","18.06666667","5.466666667","18.89","18.73","16.89"
"21","20.96333333","20.26","20.2","19.26","17.66666667","5.5","19","18.85666667","16.89"
"22","21.03333333","20.29","20.26","19.32333333","17.6","5.56","18","18.89","16.89"
"23","21.1","16.2","20.29","19.39","17.56666667","5.623333333","17.5","18.96333333","16.89"
"24","21.13333333","18.29","20.29","19.39","17.76","5.763333333","18","19","16.89"
"25","21.2","18.39","20.39","19.39","18.35666667","5.656666667","19.29","20.5","16.89"
"26","21.29","19.29","20.6","19.39","18.35666667","5.53","17.89","19.39","16.89"
"27","21.35666667","19.29","20.2","19.39","18.6","5.433333333","17.89","18.7","16.89"
"28","21.39","18.5","19.79","19.42666667","18.66666667","5.5","17.89","21.5","16.89"
"29","21.5","20.7","22.39","19.56666667","18.82333333","5.59","17.865","19.29","16.89"
"30","21.5","20.79","20.5","19.66666667","18.96333333","5.59","17.79","19.29","16.82333333"
